Company,Job Title,Location,Actively Recruiting Indicator,LI Job Post URL
Unilever,Project Engineer,"St Albans, VT (On-site)",31 school alumni work here,https://www.linkedin.com/jobs/view/3643132076/?eBP=CwEAAAGKOY9p96k2cVIuH0t8RYycWpEWcUAGV7pYCvqqhe6dRAiIFA2f4Fq_-rxd6rhyXXXqL3z3MAEXzmnm0YMmYGrbsH4FTNEe3S39v4hvmqivBIPQHCB5k_w4CidX3mAbsGlb_tbD1XkoGKC6dfOJHi1_kjDchH80Fi1v795E4UsgxybYTC-UfgyfI0iJP0ZGvf2NSVNtYCQPOYo_9G6qr0MZUqfluYTBZajzKocdcJtjLAehPIyM8-hj99urenJBx8OwxWGVGf_bDwZXCH-Eu0G8cK-yUg_SZhZh5YnyWN_R0xdjCBDSHB5LiVUyTG3njUIPsXqa50RgRRohaM-ZduGquVakY9K4rVpB134y_xWWKfLimHf_NCl693lQF21ohYIkKbPi&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=t63m7aqA1DD1oZYtZTKTcA%3D%3D&trk=flagship3_search_srp_jobs
"CPS, Inc.",Project Engineer,"Indianapolis, IN (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3682796344/?eBP=CwEAAAGKOY9p9wfDPh2YYOwiagt2QQDcb0VjC63B2QLYTt3jK17UEyCLb0k1gWx14POZxSYgtYkVFKUnfrOUNw4XkxuJYMl3eJpmtB-sWZr3s7jN9m0ViPOeDxa9uzYjMpShY0GGqq2TtbfjLxajVB8e4VuOFPAwp5MbGiZlOfuVWOk41rVNFiRJuycdPgIENL4aHGD8vGzSbr67hhIIKVLRHkJ0JZz_m_ipDciuq64Plr3NNMORr7bBjGlOhHv88izuxJvAqzD-hp5-f0ItEtQFlfDHO49QwirN1LbOYPCXa-YtwWPI-JIFFCY05FSimF1TxDSLi8B_jN7ryx9PZ9YLD_zwIhAWt1IW26TIvNYska1aAEuthl2KUeahHNhWiDS_MrRnAd5FQP4&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=ZLBOYdC3%2BnSF0VPkS5tXtg%3D%3D&trk=flagship3_search_srp_jobs
Hyundai AutoEver America,"Manager, Platform Engineering","Fountain Valley, CA (Hybrid)",Actively recruiting,https://www.linkedin.com/jobs/view/3676324121/?eBP=CwEAAAGKOY9p96MXHndD0HgChHbVjUgmTwi1ky0nPp3WTWW3xatA0aPDbjrl5p0kbViEv1nekfkD_l3a1R2WgvoINr7MRU2yqNCu4cxKOQRkKpeCeSAzP76ApGDMDpKN65l_PDTx7UakXhgUjA1T4293Y1Uc0d2qbbTLzDvXkYoRgL6ALPFBdQc9xIdTb0HvrqFD42d5ZCKb7GnzBcqZnpFuwz0RXBoW0VM0XC-jqJEMaICspxixXBdESnBqPo8_XUlk9xn8j_u0A0tPGnfNLt79VlVsqDgzd92XD2PyV0CTxLCdHMcPuBcZaVA39LVeF5_78KBjylWIZuvZifJHUQ_rnqKqXiOPcg2A6fT8e_yMA0Id4Q0uObTUS1YZOPNIIUAxdzXbLFJ_noQ&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=Ol91vC9JXtFGFrvfqGl5Ww%3D%3D&trk=flagship3_search_srp_jobs
Acrisure,Integration Specialist,"Atlanta, GA (On-site)",6 school alumni work here,https://www.linkedin.com/jobs/view/3661043726/?eBP=CwEAAAGKOY9p952VXAKLnVeFnqVTXwmXVJ7HuKeo4JSCorJWmcLtVM9vxo7q8dCsE6Lf43IbTzD6B-59yV6UmnnCMwPB3oiPQbvhRieIimYCf5udRO2ZMydklCLasQRnIdaSSV1H0QjwVbcjXT9oFb6XWeX148UFEg7-iICQTxyCg3yY2bppX0R-fSStaC-ar11hGXAg_rcz273QuwMI4Wb4NKN74C1esYeqs2tGJut2Msu5YhJeyTueCvBddNPt8nVQ7UfXE8SrumW0uVliEDtejqhaVSHU46qQ3hpFtAbhIhcbjkbt3wTVSzk1Lp1gJcGFO4bBQM1LfwoFckr3oHOYbHZbwbtIKEL9Gv7T-4AlNl4dKstBOy-SGiR8HzX9qeeqD6uTn1ddv7Y&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=4FFPIpE7bsSvv6rg19329g%3D%3D&trk=flagship3_search_srp_jobs
NVIDIA,"Hardware Applications Engineer, GeForce Desktop GPU","Santa Clara, CA",51 school alumni work here,https://www.linkedin.com/jobs/view/3644422854/?eBP=CwEAAAGKOY9p95QGqxLczlefY9QIJ7SbuLKsx23xyuF0yiy_WJEEOpw-5Ly5jqghAFdDCY25vZsDFY-cC44qdLL2CtDRRy61mhkPazF_PY57nR-1BrbKiOhBp48Oal5mEXLbqN24_iABX_e07HyVHFtiDAdLGY9twTcvJKe2uFvCvjKaQLQ7hEpWIhRaHH8n4avsjQJU34tDfeB12zPzL6-DK_8_TEj7EvDiuhBiApsWu9gZ-M5JlGRba0HtvFlqneVdDTxxpdQh7ZBuFllosRXPEh9Flc7F_b0Pq9y_U6gGQccYnjOy7pzhZymL_ldBkptBcSh7ccbxUxDzZFkhCXA3ZOYc5XQxdvxxFf2GUIJJvmpDaCiwNaUFpF34qD5mBlJqazgbm1qCP5o&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=rBAPB3L3V4jsK8AW%2BlqpYQ%3D%3D&trk=flagship3_search_srp_jobs
Selective Insurance,"Sr. Manager, Software Engineering (Hybrid)","Branchville, NJ (On-site)",8 school alumni work here,https://www.linkedin.com/jobs/view/3448422216/?eBP=CwEAAAGKOY9p97sl6aJFItiH6TRT-K5zB_9z6u7TEcW1515M8WIRjkBuHYwtjQMJNEjLmk64krbodRJfsN_YPtn0WRKijDu_NzgXtwj8drP9FHXjtjorOCaJbwaxZu4WRgnUUd1_dufhfiqVMyGUZTjpjsZqrlo0zHjCdzk73O73KG8t-pQRmcYLcAGVEiVSMaBf5Q97DkV_Qp5_SdcmgsM_q5Bj18Gy-O790Lubc06pLxNFlVPL5DVhOrsLvLAKvp4JSEy6F0CRvifo_t1PHNhCssMmv6wLq02o6dDJvGy02h_1H2uw_qEnltO7iDQTMpGTpI6Acpt6-I-zdjG4zevTSJV6yefu-wzaIxC4cRXNRW_nMhj0cSI4VjePcUg7ysO3taLhqa98GpM&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=7XhE16SpfG6VBXbtKMpZcA%3D%3D&trk=flagship3_search_srp_jobs
Supernal,Flight Test Engineer,"California City, CA (On-site)",1 school alum works here,https://www.linkedin.com/jobs/view/3625462096/?eBP=CwEAAAGKOY9p91JPcx-4h0CXSanF-KwCQLgrhB8Od_RR2NRA29Z63IabGtW-H4td7PZeJNQ9equ19MvLh15R2E7KXcz51G9_C7XtJ4YMQGr7f6F-g68_gjzPdfJx3-mfKJKbXettIR02bdhBW3DZOUmXZpLd6OYZcZwJmOxM5r9Vosuq9t1c8KkrWbgzdSOV35TqnNSYb7A0TUI8uTz7K0CpRmoJmbH3paWal3LhIeT0gWAOLXWjkCIuljpu9IhmibETSNTXQln5SwXEIAUFD6iBORVuJXw1udZBsYtugryHcDQtrXOUMoAEwAAMD54PPU6x5JmuiWBQDKdSIENbxcjsU_BQY2iYTZDPYxLE5tqfoE-ElWBSkTuUXUNm3Ydz47447dJYAfy24i0&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=1N8%2FIeffRivislkLj0L9wQ%3D%3D&trk=flagship3_search_srp_jobs
NVIDIA,Senior Packaging Technical Engineer - Hardware,"California, United States (Remote)",51 school alumni work here,https://www.linkedin.com/jobs/view/3644421920/?eBP=CwEAAAGKOY9p959voil6zT4YqZnLy9--p9ysta9zEMqzB7ud4-QWj5Y8vhtCvvKZUmvmWwEo2a0Pts4hBRASNlPKWv76YuSV7QjFuFaN8haDHo41ZAkDkoWYy415emLn0ZfVbxkOLHF8rqeOJBK0JlhJcwmE5MtqN7I5U1Tois08irt0dTczZdJIp31KQnKAqwkW_bhl0mouUoeMQliy67sHOUvnzg9aropUOKzfAABjmMvb1zweL2mCf1vvqNqQOwAXjQ4vNnkvs94D2SCYUXR0708668RO9WfEQl7Ff-UBwPsTkZ4gNSEmsD_yavPN3jB_ZYJ8q1730gowdtHykQWKiKEd2P4OHkCzr7YV1W2vZ11Gwn2htg-RMH9nQYlslgNhP6YZ1VqR57E&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=LpH5mA1dmvmdjdmmYykqeA%3D%3D&trk=flagship3_search_srp_jobs
Airbnb,"Staff Machine Learning Engineer, Support Products",United States (Remote),30 school alumni work here,https://www.linkedin.com/jobs/view/3639409238/?eBP=CwEAAAGKOY9p9-nXePpgcvXBbe2sxH6EkQX8N9r_DdyRIMQMW9z8FA8dygNiKe6Emr4x3Ktib_J4hRDfGH4SDtq6LH_CfqI4S9aP0BKkpCEKGe7Cn2fFb_q0GXrzUpXDwbs53gdrnFSV7vRB4dOUWAikq3lnhTIzCIhQgx3FU62GjSRHVX_A6JRbi5jd5tzMl0agANa3sM1fXhOryzoXF8clbAX6rSbgV6OZAEWQfqvrFhWOgWYjXb1RNlIrdmYhQjjOUJOOU6yN4V3zqKopfePnp_cUYPV_6XKldjlGlU-H2k35dx26NKWRFSqsMgg4vwozHdoXdWqKNcN73KOlu9S7cwrs8Yy0RXFnl9CZF7MIn8fXGxqMTQ56Cs2-0M-t11BgB9L-NQwbP50&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=InfxlvFJj4Nx4O0lMBwwbg%3D%3D&trk=flagship3_search_srp_jobs
Acrisure,Integration Specialist,"Denver, CO (On-site)",6 school alumni work here,https://www.linkedin.com/jobs/view/3661043719/?eBP=CwEAAAGKOY9p950LNogwE0WZBe0t4Sz8X1IBUFVnWk3JSetCiEXPnVIJqAZEFgrze3etT5HMm1BuB2WBaVyxMkTNyL6oEfad6ibELE6i632fgGZoVuDFNfc3EmF7lvXOsI9gbqWA4CQSG3OUJv9g53LW7m4bu1ruzvVg_DOD2l8a_VxaCHU8ujZ7iJ_F7nmJVCuVdaOp4oDDucm_eGfcJYC0NRstF7T4_C3iiNpKxZlrIaCu27pv7XHo1uHKhKP4-5eIt1gFitpyNen3iaUHpB7d4p7nPG0VtoMAfrhLGWlig5COGKG22OSY-WObKU2PrunYw20-AWay63YNpTus_MTTEfe1LM3CSC1BRDBX_gIoT36RKJn2-Mf9Da-PXMc99CjLPfQjTrhY&refId=zZ8Hl4u2WXSg00N69G1qgA%3D%3D&trackingId=1Jhr0ohNyuITmaqo9Rmq5g%3D%3D&trk=flagship3_search_srp_jobs
